#TradeId,ResultId,ResultType,ResultValue
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationBasketSwapLengths[1],double,4.000000000000
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationBasketSwapLengths[2],double,3.000000000000
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationBasketSwapLengths[3],double,2.000000000000
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationBasketSwapLengths[4],double,1.000000000000
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationBasketVegas[0],double,1.729476081754
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationBasketVegas[1],double,1.914706893705
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationBasketVegas[2],double,1.721322308143
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationBasketVegas[3],double,1.298526394103
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationBasketVegas[4],double,0.710681108384
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationBasketVols[0],double,0.010224779580
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationBasketVols[1],double,0.010384103668
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationBasketVols[2],double,0.010424853829
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationBasketVols[3],double,0.010262352734
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationBasketVols[4],double,0.010386145271
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationError,double,0.000000000000
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationMarketValues[0],double,0.017491850252
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationMarketValues[1],double,0.019665479662
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationMarketValues[2],double,0.017663807614
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationMarketValues[3],double,0.013261383479
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationMarketValues[4],double,0.006886957264
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationMarketVols[0],double,0.010224779580
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationMarketVols[1],double,0.010384103668
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationMarketVols[2],double,0.010424853829
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationMarketVols[3],double,0.010262352734
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationMarketVols[4],double,0.010386145271
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationModelAlphas[0],double,0.010663669710
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationModelAlphas[1],double,0.011225792771
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationModelAlphas[2],double,0.011427608450
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationModelAlphas[3],double,0.010837326942
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationModelAlphas[4],double,0.012303065165
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationModelHwSigmas[0],double,0.010451390386
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationModelHwSigmas[1],double,0.010784462788
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationModelHwSigmas[2],double,0.010759779300
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationModelHwSigmas[3],double,0.010002489280
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationModelHwSigmas[4],double,0.011130466166
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationModelKappas[0],double,0.020000000000
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationModelKappas[1],double,0.020000000000
